id,repo,commit,source,target,file path,incomplete?,lines,source APIs,target APIs,program element,cardinality,properties,commit URL,candidate source lines,candidate target lines,migration id,file id
M1,deepspace2/styleframe,ffc8d7615fb37996ad7824a0e0501351a8f66b14,docopt,argparse,StyleFrame/commandline.py,,11:1,docopt,argparse,import,one-to-one,module name change,https://github.com/deepspace2/styleframe/commit/ffc8d761,"11,71-72","1,60-62,65-67,69,71-72,74,78-79,82",docopt__argparse__deepspace2/styleframe__ffc8d761,docopt__argparse__deepspace2/styleframe__ffc8d761__StyleFrame/commandline.py
M2,deepspace2/styleframe,ffc8d7615fb37996ad7824a0e0501351a8f66b14,docopt,argparse,StyleFrame/commandline.py,TRUE,-,,,,,,https://github.com/deepspace2/styleframe/commit/ffc8d761,"11,71-72","1,60-62,65-67,69,71-72,74,78-79,82",docopt__argparse__deepspace2/styleframe__ffc8d761,docopt__argparse__deepspace2/styleframe__ffc8d761__StyleFrame/commandline.py
M12,projectcalico/felix,657e727468c6c6c7ee13ce93fb88643339572440,gevent,eventlet,calico/election.py,,26-27:25,gevent;gevent.lock,eventlet,import,many-to-one,,https://github.com/projectcalico/felix/commit/657e7274,"26-27,56,58,67,136,138,142,155,157","25,77,108,192",gevent__eventlet__projectcalico/felix__657e7274,gevent__eventlet__projectcalico/felix__657e7274__calico/election.py
M13,projectcalico/felix,657e727468c6c6c7ee13ce93fb88643339572440,gevent,eventlet,calico/election.py,,56:,gevent.lock.Semaphore,,function call,,,https://github.com/projectcalico/felix/commit/657e7274,"26-27,56,58,67,136,138,142,155,157","25,77,108,192",gevent__eventlet__projectcalico/felix__657e7274,gevent__eventlet__projectcalico/felix__657e7274__calico/election.py
M14,projectcalico/felix,657e727468c6c6c7ee13ce93fb88643339572440,gevent,eventlet,calico/election.py,,58:77,gevent.spawn,eventlet.spawn,function call,one-to-one,function name change,https://github.com/projectcalico/felix/commit/657e7274,"26-27,56,58,67,136,138,142,155,157","25,77,108,192",gevent__eventlet__projectcalico/felix__657e7274,gevent__eventlet__projectcalico/felix__657e7274__calico/election.py
M15,projectcalico/felix,657e727468c6c6c7ee13ce93fb88643339572440,gevent,eventlet,calico/election.py,,136;138;155;157,acquire,,function call,,,https://github.com/projectcalico/felix/commit/657e7274,"26-27,56,58,67,136,138,142,155,157","25,77,108,192",gevent__eventlet__projectcalico/felix__657e7274,gevent__eventlet__projectcalico/felix__657e7274__calico/election.py
M16,projectcalico/felix,657e727468c6c6c7ee13ce93fb88643339572440,gevent,eventlet,calico/election.py,,142:192,gevent.sleep,eventlet.sleep,function call,one-to-one,function name change,https://github.com/projectcalico/felix/commit/657e7274,"26-27,56,58,67,136,138,142,155,157","25,77,108,192",gevent__eventlet__projectcalico/felix__657e7274,gevent__eventlet__projectcalico/felix__657e7274__calico/election.py
M23,jhsmit/colicoords,a082ad56448cf9db47ee5b14d1466d1c362c3cff,multiprocessing,multiprocess,colicoords/cell.py,,11:11,multiprocessing,multiprocess,import,one-to-one,module name change,https://github.com/jhsmit/colicoords/commit/a082ad56,"11,1297,1300-1301","111,297",multiprocessing__multiprocess__jhsmit/colicoords__a082ad56,multiprocessing__multiprocess__jhsmit/colicoords__a082ad56__colicoords/cell.py
M24,jhsmit/colicoords,a082ad56448cf9db47ee5b14d1466d1c362c3cff,multiprocessing,multiprocess,colicoords/cell.py,,1297:1297,Pool,Pool,function call,one-to-one,argument addition,https://github.com/jhsmit/colicoords/commit/a082ad56,"11,1297,1300-1301","111,297",multiprocessing__multiprocess__jhsmit/colicoords__a082ad56,multiprocessing__multiprocess__jhsmit/colicoords__a082ad56__colicoords/cell.py
M25,jhsmit/colicoords,a082ad56448cf9db47ee5b14d1466d1c362c3cff,multiprocessing,multiprocess,colicoords/cell.py,,1300:,close,,function call,,,https://github.com/jhsmit/colicoords/commit/a082ad56,"11,1297,1300-1301","111,297",multiprocessing__multiprocess__jhsmit/colicoords__a082ad56,multiprocessing__multiprocess__jhsmit/colicoords__a082ad56__colicoords/cell.py
M26,jhsmit/colicoords,a082ad56448cf9db47ee5b14d1466d1c362c3cff,multiprocessing,multiprocess,colicoords/cell.py,,1301:,join,,function call,,,https://github.com/jhsmit/colicoords/commit/a082ad56,"11,1297,1300-1301","111,297",multiprocessing__multiprocess__jhsmit/colicoords__a082ad56,multiprocessing__multiprocess__jhsmit/colicoords__a082ad56__colicoords/cell.py
M28,ovirt/vdsm,6eef802af9194c702b2799d23527e85b152f0ad6,netaddr,ipaddress,lib/vdsm/network/ipwrapper.py,,29:25,from netaddr import IPAddress,from ipaddress import ip_address,import,one-to-one,full statement replacement,https://github.com/ovirt/vdsm/commit/6eef802a,"28-30,65,308,311,314,410,419-420","25-26,307,310,313,409,418-419",netaddr__ipaddress__ovirt/vdsm__6eef802a,netaddr__ipaddress__ovirt/vdsm__6eef802a__lib/vdsm/network/ipwrapper.py
M63,ovirt/vdsm,6eef802af9194c702b2799d23527e85b152f0ad6,netaddr,ipaddress,lib/vdsm/network/ipwrapper.py,,28:,from netaddr.core import AddrFormatError,,import,,,https://github.com/ovirt/vdsm/commit/6eef802a,"28-30,65,308,311,314,410,419-420","25-26,307,310,313,409,418-419",netaddr__ipaddress__ovirt/vdsm__6eef802a,netaddr__ipaddress__ovirt/vdsm__6eef802a__lib/vdsm/network/ipwrapper.py
M29,ovirt/vdsm,6eef802af9194c702b2799d23527e85b152f0ad6,netaddr,ipaddress,lib/vdsm/network/ipwrapper.py,,30:26,from netaddr import IPNetwork,from netaddr import IPNetwork,import,one-to-one,full statement replacement,https://github.com/ovirt/vdsm/commit/6eef802a,"28-30,65,308,311,314,410,419-420","25-26,307,310,313,409,418-419",netaddr__ipaddress__ovirt/vdsm__6eef802a,netaddr__ipaddress__ovirt/vdsm__6eef802a__lib/vdsm/network/ipwrapper.py
M30,ovirt/vdsm,6eef802af9194c702b2799d23527e85b152f0ad6,netaddr,ipaddress,lib/vdsm/network/ipwrapper.py,,308:307; 410:409; 420:419,IPNetwork,ip_network,object,one-to-one,,https://github.com/ovirt/vdsm/commit/6eef802a,"28-30,65,308,311,314,410,419-420","25-26,307,310,313,409,418-419",netaddr__ipaddress__ovirt/vdsm__6eef802a,netaddr__ipaddress__ovirt/vdsm__6eef802a__lib/vdsm/network/ipwrapper.py
M31,ovirt/vdsm,6eef802af9194c702b2799d23527e85b152f0ad6,netaddr,ipaddress,lib/vdsm/network/ipwrapper.py,,311:310; 314:313; 410:409; 419:418,IPAddress,ip_address,object,one-to-one,,https://github.com/ovirt/vdsm/commit/6eef802a,"28-30,65,308,311,314,410,419-420","25-26,307,310,313,409,418-419",netaddr__ipaddress__ovirt/vdsm__6eef802a,netaddr__ipaddress__ovirt/vdsm__6eef802a__lib/vdsm/network/ipwrapper.py
M32,ovirt/vdsm,6eef802af9194c702b2799d23527e85b152f0ad6,netaddr,ipaddress,lib/vdsm/network/netinfo/addresses.py,,25:26,from netaddr import IPNetwork,import ipaddress,import,one-to-one,full statement replacement,https://github.com/ovirt/vdsm/commit/6eef802a,"25,45-47,59,67","26,47-49,130-131",netaddr__ipaddress__ovirt/vdsm__6eef802a,netaddr__ipaddress__ovirt/vdsm__6eef802a__lib/vdsm/network/netinfo/addresses.py
M33,ovirt/vdsm,6eef802af9194c702b2799d23527e85b152f0ad6,netaddr,ipaddress,lib/vdsm/network/netinfo/addresses.py,,45:47,IPNetwork,ipaddress.ip_interface,function call,one-to-one,function name change,https://github.com/ovirt/vdsm/commit/6eef802a,"25,45-47,59,67","26,47-49,130-131",netaddr__ipaddress__ovirt/vdsm__6eef802a,netaddr__ipaddress__ovirt/vdsm__6eef802a__lib/vdsm/network/netinfo/addresses.py
M34,ovirt/vdsm,6eef802af9194c702b2799d23527e85b152f0ad6,netaddr,ipaddress,lib/vdsm/network/netinfo/addresses.py,,46:48,IPNetwork,ipaddress.ip_interface; network,function call: function call;attribute access,one-to-many,,https://github.com/ovirt/vdsm/commit/6eef802a,"25,45-47,59,67","26,47-49,130-131",netaddr__ipaddress__ovirt/vdsm__6eef802a,netaddr__ipaddress__ovirt/vdsm__6eef802a__lib/vdsm/network/netinfo/addresses.py
M35,ovirt/vdsm,6eef802af9194c702b2799d23527e85b152f0ad6,netaddr,ipaddress,lib/vdsm/network/sourceroute.py,,24:23,netaddr,ipaddress,import,one-to-one,module name change,https://github.com/ovirt/vdsm/commit/6eef802a,"24,51-52,56","23,52,56",netaddr__ipaddress__ovirt/vdsm__6eef802a,netaddr__ipaddress__ovirt/vdsm__6eef802a__lib/vdsm/network/sourceroute.py
M36,ovirt/vdsm,6eef802af9194c702b2799d23527e85b152f0ad6,netaddr,ipaddress,lib/vdsm/network/sourceroute.py,,51:52,netaddr.IPNetwork,ipaddress.ip_interface;network,function call: function call;attribute access,one-to-many,,https://github.com/ovirt/vdsm/commit/6eef802a,"24,51-52,56","23,52,56",netaddr__ipaddress__ovirt/vdsm__6eef802a,netaddr__ipaddress__ovirt/vdsm__6eef802a__lib/vdsm/network/sourceroute.py
M37,ovirt/vdsm,6eef802af9194c702b2799d23527e85b152f0ad6,netaddr,ipaddress,lib/vdsm/network/sourceroute.py,TRUE,56:56,,,,,,https://github.com/ovirt/vdsm/commit/6eef802a,"24,51-52,56","23,52,56",netaddr__ipaddress__ovirt/vdsm__6eef802a,netaddr__ipaddress__ovirt/vdsm__6eef802a__lib/vdsm/network/sourceroute.py
M38,openstack/python-searchlightclient,0bc93d17f7d9c7251064de6c2616d70fc850c0c8,openstackclient,osc-lib,searchlightclient/osc/plugin.py,,16:16,openstackclient.common,osc_lib ,import,one-to-one,module name change,https://github.com/openstack/python-searchlightclient/commit/0bc93d17,16,16,openstackclient__osc-lib__openstack/python-searchlightclient__0bc93d17,openstackclient__osc-lib__openstack/python-searchlightclient__0bc93d17__searchlightclient/osc/plugin.py
M39,openstack/python-searchlightclient,0bc93d17f7d9c7251064de6c2616d70fc850c0c8,openstackclient,osc-lib,searchlightclient/osc/v1/facet.py,,20:20,openstackclient.common,osc_lib ,import,one-to-one,module name change,https://github.com/openstack/python-searchlightclient/commit/0bc93d17,20,20,openstackclient__osc-lib__openstack/python-searchlightclient__0bc93d17,openstackclient__osc-lib__openstack/python-searchlightclient__0bc93d17__searchlightclient/osc/v1/facet.py
M40,openstack/python-searchlightclient,0bc93d17f7d9c7251064de6c2616d70fc850c0c8,openstackclient,osc-lib,searchlightclient/osc/v1/resource_type.py,,19:19,openstackclient.common,osc_lib ,import,one-to-one,module name change,https://github.com/openstack/python-searchlightclient/commit/0bc93d17,19,19,openstackclient__osc-lib__openstack/python-searchlightclient__0bc93d17,openstackclient__osc-lib__openstack/python-searchlightclient__0bc93d17__searchlightclient/osc/v1/resource_type.py
M41,openstack/python-searchlightclient,0bc93d17f7d9c7251064de6c2616d70fc850c0c8,openstackclient,osc-lib,searchlightclient/osc/v1/search.py,,21:21,openstackclient.common,osc_lib ,import,one-to-one,module name change,https://github.com/openstack/python-searchlightclient/commit/0bc93d17,21,21,openstackclient__osc-lib__openstack/python-searchlightclient__0bc93d17,openstackclient__osc-lib__openstack/python-searchlightclient__0bc93d17__searchlightclient/osc/v1/search.py
M17,rivuletstudio/rivuletpy,52068adbb96160b27768f0d5bb64672dab109d99,progressbar,tqdm,rivuletpy/trace.py,,1:2,progressbar,tqdm,import,one-to-one,full statement replacement,https://github.com/rivuletstudio/rivuletpy/commit/52068adb,"1,63,73,284,294","2,64,72,248,288,296",progressbar__tqdm__rivuletstudio/rivuletpy__52068adb,progressbar__tqdm__rivuletstudio/rivuletpy__52068adb__rivuletpy/trace.py
M18,rivuletstudio/rivuletpy,52068adbb96160b27768f0d5bb64672dab109d99,progressbar,tqdm,rivuletpy/trace.py,,63:64; 284:288,progressbar.ProgressBar,tqdm,function call,one-to-one,function name change; argument name change,https://github.com/rivuletstudio/rivuletpy/commit/52068adb,"1,63,73,284,294","2,64,72,248,288,296",progressbar__tqdm__rivuletstudio/rivuletpy__52068adb,progressbar__tqdm__rivuletstudio/rivuletpy__52068adb__rivuletpy/trace.py
M19,rivuletstudio/rivuletpy,52068adbb96160b27768f0d5bb64672dab109d99,progressbar,tqdm,rivuletpy/trace.py,,73:72; 294:296,update,update,function call,one-to-one,argument transformation,https://github.com/rivuletstudio/rivuletpy/commit/52068adb,"1,63,73,284,294","2,64,72,248,288,296",progressbar__tqdm__rivuletstudio/rivuletpy__52068adb,progressbar__tqdm__rivuletstudio/rivuletpy__52068adb__rivuletpy/trace.py
M20,rivuletstudio/rivuletpy,52068adbb96160b27768f0d5bb64672dab109d99,progressbar,tqdm,rivuletpy/trace.py,,:248,,close,function call,,,https://github.com/rivuletstudio/rivuletpy/commit/52068adb,"1,63,73,284,294","2,64,72,248,288,296",progressbar__tqdm__rivuletstudio/rivuletpy__52068adb,progressbar__tqdm__rivuletstudio/rivuletpy__52068adb__rivuletpy/trace.py
M27,pypeit/pypeit,ba5e21ad19520001e4d4e8441910a43be9496115,pyside2,qtpy,pypeit/scripts/show_1dspec.py,,31:31,PySide2.QtWidgets,qtpy.QtWidgets,import,one-to-one,module name change,https://github.com/pypeit/pypeit/commit/ba5e21ad,31,31,pyside2__qtpy__pypeit/pypeit__ba5e21ad,pyside2__qtpy__pypeit/pypeit__ba5e21ad__pypeit/scripts/show_1dspec.py
M50,kaushaltrivedi/fast-bert,1c96992f4e825e9dd8635a36007d498396d87eba,pytorch-pretrained-bert,pytorch-transformers,fast_bert/data.py,,3:3,pytorch_pretrained_bert.tokenization,pytorch_transformers,import,one-to-one,module name change,https://github.com/kaushaltrivedi/fast-bert/commit/1c96992f,3,3,pytorch-pretrained-bert__pytorch-transformers__kaushaltrivedi/fast-bert__1c96992f,pytorch-pretrained-bert__pytorch-transformers__kaushaltrivedi/fast-bert__1c96992f__fast_bert/data.py
M51,kaushaltrivedi/fast-bert,1c96992f4e825e9dd8635a36007d498396d87eba,pytorch-pretrained-bert,pytorch-transformers,fast_bert/learner.py,,5-6:5-6,"from pytorch_pretrained_bert.optimization import BertAdam, ConstantLR, WarmupCosineSchedule, WarmupConstantSchedule, WarmupLinearSchedule, WarmupCosineWithWarmupRestartsSchedule, WarmupCosineWithHardRestartsSchedule
from pytorch_pretrained_bert.modeling import BertForSequenceClassification, BertLayerNorm",,import,many-to-many,full statement replacement,https://github.com/kaushaltrivedi/fast-bert/commit/1c96992f,"5-6,19,27-28,32,65,76,78,203,209,211,214,220,494,497,499,502,505,507,510,542,560","5-6,29-30,196,200,207,209,220,238,413,418,430,446,456,480,482",pytorch-pretrained-bert__pytorch-transformers__kaushaltrivedi/fast-bert__1c96992f,pytorch-pretrained-bert__pytorch-transformers__kaushaltrivedi/fast-bert__1c96992f__fast_bert/learner.py
M52,kaushaltrivedi/fast-bert,1c96992f4e825e9dd8635a36007d498396d87eba,pytorch-pretrained-bert,pytorch-transformers,fast_bert/learner.py,,27:29;28:30,ConstantLR,ConstantLRSchedule,object,one-to-one,object name change,https://github.com/kaushaltrivedi/fast-bert/commit/1c96992f,"5-6,19,27-28,32,65,76,78,203,209,211,214,220,494,497,499,502,505,507,510,542,560","5-6,29-30,196,200,207,209,220,238,413,418,430,446,456,480,482",pytorch-pretrained-bert__pytorch-transformers__kaushaltrivedi/fast-bert__1c96992f,pytorch-pretrained-bert__pytorch-transformers__kaushaltrivedi/fast-bert__1c96992f__fast_bert/learner.py
