id 1,id 2,repo,commit,source,target,file path,lines,R1 source APIs,R2 source APIs,agreed source API,R1 target APIs,R2 target APIs,agreed target APIs,R1 program element,R2 program element,agreed program element,R1 cardinality,R2 cardinality,agreed cardinality,R1 properties,R2 properties,agreed properties
M1,S1,deepspace2/styleframe,ffc8d7615fb37996ad7824a0e0501351a8f66b14,docopt,argparse,StyleFrame/commandline.py,11:1,docopt,docopt,docopt,argparse,argparse,argparse,import,import,import,one-to-one,one-to-one,one-to-one,module name change,module name change,module name change
M12,S9,projectcalico/felix,657e727468c6c6c7ee13ce93fb88643339572440,gevent,eventlet,calico/election.py,26-27:25,gevent;gevent.lock,gevent;gevent.lock,gevent;gevent.lock,eventlet,eventlet,eventlet,import,import,import,many-to-one,many-to-one,many-to-one,,module name change,
M13,S10,projectcalico/felix,657e727468c6c6c7ee13ce93fb88643339572440,gevent,eventlet,calico/election.py,56:,gevent.lock.Semaphore,gevent.lock.Semaphore,gevent.lock.Semaphore,,,,function call,function call,function call,,removal,,,,
M14,S11,projectcalico/felix,657e727468c6c6c7ee13ce93fb88643339572440,gevent,eventlet,calico/election.py,58:77,gevent.spawn,gevent.spawn,gevent.spawn,eventlet.spawn,eventlet.spawn,eventlet.spawn,function call,function call,function call,one-to-one,one-to-one,one-to-one,function name change,function name change,function name change
M23,S20,jhsmit/colicoords,a082ad56448cf9db47ee5b14d1466d1c362c3cff,multiprocessing,multiprocess,colicoords/cell.py,11:11,multiprocessing,multiprocessing,multiprocessing,multiprocess,multiprocess,multiprocess,import,import,import,one-to-one,one-to-one,one-to-one,module name change,module name change,module name change
M24,S21,jhsmit/colicoords,a082ad56448cf9db47ee5b14d1466d1c362c3cff,multiprocessing,multiprocess,colicoords/cell.py,1297:1297,Pool,multiprocessing.Pool,,Pool,multiprocess.Pool,,function call,function call,function call,one-to-one,one-to-one,one-to-one,argument addition,argument addition,argument addition
M28,A2,ovirt/vdsm,6eef802af9194c702b2799d23527e85b152f0ad6,netaddr,ipaddress,lib/vdsm/network/ipwrapper.py,29:25,from netaddr import IPAddress,IPAddress,,from ipaddress import ip_address,ip_address,,import,import,import,one-to-one,one-to-one,one-to-one,full statement replacement,full statement replacement,full statement replacement
M63,A1,ovirt/vdsm,6eef802af9194c702b2799d23527e85b152f0ad6,netaddr,ipaddress,lib/vdsm/network/ipwrapper.py,28:,from netaddr.core import AddrFormatError,AddrFormatError,,,,,import,import,import,,one-to-zero,,,full statement replacement,
M29,A3,ovirt/vdsm,6eef802af9194c702b2799d23527e85b152f0ad6,netaddr,ipaddress,lib/vdsm/network/ipwrapper.py,30:26,from netaddr import IPNetwork,IPNetwork,,from netaddr import IPNetwork,ip_network,,import,import,import,one-to-one,one-to-one,one-to-one,full statement replacement,full statement replacement,full statement replacement
M32,A11,ovirt/vdsm,6eef802af9194c702b2799d23527e85b152f0ad6,netaddr,ipaddress,lib/vdsm/network/netinfo/addresses.py,25:26,from netaddr import IPNetwork,IPNetwork,,import ipaddress,ipaddress,,import,import,import,one-to-one,one-to-one,one-to-one,full statement replacement,"module removed, object changed",
