id 1,id 2,repo,commit,source,target,file path,lines,flag,R1 source APIs,R2 source APIs,agreed source API,R1 target APIs,R2 target APIs,agreed target APIs,R1 source program elements,R2 source program elements,agreed source program elements,R1 target program elements,R2 target program elements,agreed target program elements,R1 cardinality,R2 cardinality,agreed cardinality,R1 properties,R2 properties,agreed properties,R1 comments,R2 comments,R1,R2
M11,S1,heyman/locust,4067b929fab7691a12ad91bf70e3738d715e860e,bottle,flask,locust/web.py,"2,6:9",,"from bottle import route, run, send_file;import bottle",bottle;route;run;send_file,,"from flask import Flask, make_response",Flask;flask;make_response,,import,import,import,import,import,import,many-to-many,many-to-one,,no properties,no properties,no properties,,,moha,sarah
M12,S2,heyman/locust,4067b929fab7691a12ad91bf70e3738d715e860e,bottle,flask,locust/web.py,47:10,,default_app,default_app,default_app,Flask,Flask,Flask,function call,function call,function call,function call,function call,function call,one-to-one,one-to-one,one-to-one,argument addition;element name change,argument addition;element name change,argument addition;element name change,,,moha,sarah
M16,S6,heyman/locust,4067b929fab7691a12ad91bf70e3738d715e860e,bottle,flask,locust/web.py,18:17,,route,route,route,route,route,route,decorator,decorator,decorator,decorator,decorator,decorator,one-to-one,one-to-one,one-to-one,no properties,no properties,no properties,,"in the source, it is bottle.route (i.e., part of the module directly) while in the target, it is accessed from the Flask object instance. however, I don't think this requires any properties because it is basically boot.@roote replaced with Flask().@route()? UNless we treat this as one to many with decorator being replaced by function call + decorator? ",moha,sarah
M17,S7,heyman/locust,4067b929fab7691a12ad91bf70e3738d715e860e,bottle,flask,locust/web.py,20:19-21,,send_file,send_file,send_file,header;make_response,headers;make_response;read,,function call,function call,function call,attribute access;function call,attribute access;function call,attribute access;function call,one-to-many,one-to-many,one-to-many,argument transformation,argument trasformation;element name change,,"in the source lib, they pass file name and directory, while in the target lib, they pass teh file content. Therefore, I consider it as an argument tranformation",,moha,sarah
M24,S8,ctlearn-project/ctlearn,2375af87fa36b7c93c5a3be5cab81784d4a2f64e,configparser,configobj,ctalearn/scripts/run_model.py,2:2-3,,import configparser,configparser,,from configobj import ConfigObj;from configobj.validate import Validator,ConfigObj;Validator,,import,import,import,import,import,import,one-to-many,one-to-many,one-to-many,no properties,no properties,no properties,,,moha,sarah
M25,S9,ctlearn-project/ctlearn,2375af87fa36b7c93c5a3be5cab81784d4a2f64e,configparser,configobj,ctalearn/scripts/run_model.py,499-500:437-438,,ConfigParser;read,ConfigParser;read,ConfigParser;read,ConfigObj;ConfigObj,ConfigObj,,function call,function call,function call,function call,function call,function call,many-to-many,one-to-many,,argument addition;argument deletion;argument transformation,argument addition,,transformation of the file path,,moha,sarah
M28,S11,codesy/codesy,b5824f4f99b62978952b489d10d558e681c69497,csv,unicodecsv,codesy/base/admin.py,1:2,,import csv,csv,,import unicodecsv as csv,unicodecsv,,import,import,import,import,import,import,one-to-one,,,no properties,,,,,moha,sarah
M29,S12,codesy/codesy,b5824f4f99b62978952b489d10d558e681c69497,csv,unicodecsv,codesy/base/admin.py,19:20,,writer,writer,writer,writer,writer,writer,function call,function call,function call,function call,function call,function call,one-to-one,one-to-one,one-to-one,argument addition,argument addition,argument addition,,,moha,sarah
M37,S13,rapid-design-of-systems-laboratory/beluga,078e3e56fe5b86d9c188aaf249a72296bd6fa753,dill,cloudpickle,beluga/beluga.py,8:8,,import dill,dill,,import cloudpickle as pickle,cloudpickle,,import,import,import,import,import,import,one-to-one,one-to-one,one-to-one,no properties,no properties,no properties,,,moha,sarah
M38,S14,rapid-design-of-systems-laboratory/beluga,078e3e56fe5b86d9c188aaf249a72296bd6fa753,dill,cloudpickle,beluga/beluga.py,141-142:141,,dump;settings,dump;settings,dump;settings,dump,dump,dump,attribute access;function call,attribute access;function call,attribute access;function call,function call,function call,function call,many-to-one,many-to-one,many-to-one,no properties,no properties,no properties,,,moha,sarah
M39,S15,rapid-design-of-systems-laboratory/beluga,078e3e56fe5b86d9c188aaf249a72296bd6fa753,dill,cloudpickle,beluga/visualization/datasources.py,2:2,,import dill,dill,,import cloudpickle as pickle,cloudpickle,,import,import,import,import,import,import,one-to-one,one-to-one,one-to-one,no properties,no properties,no properties,,,moha,sarah
M40,S16,rapid-design-of-systems-laboratory/beluga,078e3e56fe5b86d9c188aaf249a72296bd6fa753,dill,cloudpickle,beluga/visualization/datasources.py,54:54,,load,load,load,load,load,load,function call,function call,function call,function call,function call,function call,one-to-one,one-to-one,one-to-one,no properties,no properties,no properties,,,moha,sarah
M54,S17,obsidianforensics/hindsight,973b3d3278609c144f11542bd24164243ee165af,leveldb,plyvel,pyhindsight/browsers/chrome.py,1656:1656,,import leveldb,leveldb,,import plyvel,pyleveldb,,import,import,import,import,import,import,one-to-one,one-to-one,one-to-one,no properties,no properties,no properties,,,moha,sarah
M55,S18,obsidianforensics/hindsight,973b3d3278609c144f11542bd24164243ee165af,leveldb,plyvel,pyhindsight/utils.py,104:104,,import leveldb,leveldb,,import plyvel,pyleveldb,,import,import,import,import,import,import,one-to-one,one-to-one,one-to-one,no properties,no properties,no properties,,,moha,sarah
M56,S19,obsidianforensics/hindsight,973b3d3278609c144f11542bd24164243ee165af,leveldb,plyvel,pyhindsight/utils.py,115:115,,LevelDB,LevelDB,LevelDB,DB,DB,DB,function call,function call,function call,function call,function call,function call,one-to-one,one-to-one,one-to-one,element name change,element name change,element name change,,,moha,sarah
M57,S20,obsidianforensics/hindsight,973b3d3278609c144f11542bd24164243ee165af,leveldb,plyvel,pyhindsight/utils.py,121:121,,RangeIter,RangeIterator,,iterator,Iterator,,function call,function call,function call,function call,function call,function call,one-to-one,one-to-one,one-to-one,element name change,element name change,element name change,,,moha,sarah
M82,S21,aws/aws-parallelcluster,d49460ac5ca5ac3c5728ef7f13471f0682d7e966,paramiko,fabric,tests/integration-tests/remote_command_executor.py,16:16,,"from paramiko import AutoAddPolicy, SSHClient",AutoAddPolicy;SSHClient,,from fabric import Connection,Connection,,import,import,import,import,import,import,one-to-one,one-to-one,one-to-one,no properties,no properties,no properties,,,moha,sarah
M83,S22,aws/aws-parallelcluster,d49460ac5ca5ac3c5728ef7f13471f0682d7e966,paramiko,fabric,tests/integration-tests/remote_command_executor.py,45-51:38-43,,AutoAddPolicy;SSHClient;connect;load_system_host_keys;open_sftp;set_missing_host_key_policy,SSHClient;connect;load_system_host_keys;set_missing_host_key_policy,,Connection,Connection,Connection,function call,function call,function call,function call,function call,function call,many-to-one,many-to-one,many-to-one,argument addition;argument name change;argument transformation,argument transformation,,"argument hostname changed to host, username to user. some named arguments changed to dictionary (arg transformation). Argument forward_agent added.",,moha,sarah
M84,S24,aws/aws-parallelcluster,d49460ac5ca5ac3c5728ef7f13471f0682d7e966,paramiko,fabric,tests/integration-tests/remote_command_executor.py,56:48,,close,close,close,close,close,close,function call,function call,function call,function call,function call,function call,one-to-one,one-to-one,one-to-one,no properties,no properties,no properties,,,moha,sarah
M86,S27,aws/aws-parallelcluster,d49460ac5ca5ac3c5728ef7f13471f0682d7e966,paramiko,fabric,tests/integration-tests/remote_command_executor.py,102:96,,put,put,put,put,put,put,function call,function call,function call,function call,function call,function call,one-to-one,one-to-one,one-to-one,no properties,no properties,no properties,,,moha,sarah
M87,S28,aws/aws-parallelcluster,d49460ac5ca5ac3c5728ef7f13471f0682d7e966,paramiko,fabric,tests/integration-tests/remote_command_executor.py,111:105,,put,put,put,put,put,put,function call,function call,function call,function call,function call,function call,one-to-one,one-to-one,one-to-one,no properties,no properties,no properties,,,moha,sarah
M94,S29,pimoroni/inky,cba36514eb8c881f8bd1d92b0b6a5bf12b4b72fb,smbus-cffi,smbus2,library/inky/eeprom.py,7:7,,import smbus,smbus,,from smbus2 import SMBus,SMBus,,import,import,import,import,import,import,one-to-one,one-to-one,one-to-one,no properties,no properties,no properties,,,moha,sarah
M95,S30,pimoroni/inky,cba36514eb8c881f8bd1d92b0b6a5bf12b4b72fb,smbus-cffi,smbus2,library/inky/eeprom.py,98:98,,SMBus,SMBus,SMBus,SMBus,SMBus,SMBus,function call,function call,function call,function call,function call,function call,one-to-one,one-to-one,one-to-one,no properties,no properties,no properties,,,moha,sarah
