id,repo,commit,source,target,file path,lines,flag,source APIs,target APIs,source program elements,target program elements,cardinality,properties,comments,commit URL,migration id,file id,candidate source lines,candidate target lines
A1,keepsafe/aiohttp,e51fb1ff1ebdde566b96af0090c5c63cf1a62b1b,attrs,dataclasses,aiohttp/client.py,31:5,,attr,dataclasses,import,import,one-to-one,full statement replacement,,https://github.com/keepsafe/aiohttp/commit/e51fb1ff1ebdde566b96af0090c5c63cf1a62b1b,attrs__dataclasses__keepsafe/aiohttp__e51fb1ff,attrs__dataclasses__keepsafe/aiohttp__e51fb1ff__aiohttp/client.py,,"5,139,704"
A2,keepsafe/aiohttp,e51fb1ff1ebdde566b96af0090c5c63cf1a62b1b,attrs,dataclasses,aiohttp/client.py,139:139,,attr.s,dataclasses.dataclass,decorator,decorator,one-to-one,argument deletion,,https://github.com/keepsafe/aiohttp/commit/e51fb1ff1ebdde566b96af0090c5c63cf1a62b1b,attrs__dataclasses__keepsafe/aiohttp__e51fb1ff,attrs__dataclasses__keepsafe/aiohttp__e51fb1ff__aiohttp/client.py,,
A3,keepsafe/aiohttp,e51fb1ff1ebdde566b96af0090c5c63cf1a62b1b,attrs,dataclasses,aiohttp/client.py,704:704,,attr.evolve,dataclasses.replace,function call,function call,one-to-one,no properties,,https://github.com/keepsafe/aiohttp/commit/e51fb1ff1ebdde566b96af0090c5c63cf1a62b1b,attrs__dataclasses__keepsafe/aiohttp__e51fb1ff,attrs__dataclasses__keepsafe/aiohttp__e51fb1ff__aiohttp/client.py,,
A4,keepsafe/aiohttp,e51fb1ff1ebdde566b96af0090c5c63cf1a62b1b,attrs,dataclasses,aiohttp/client_reqrep.py,26:3,,attr,dataclasses,import,import,one-to-one,full statement replacement,,https://github.com/keepsafe/aiohttp/commit/e51fb1ff1ebdde566b96af0090c5c63cf1a62b1b,attrs__dataclasses__keepsafe/aiohttp__e51fb1ff,attrs__dataclasses__keepsafe/aiohttp__e51fb1ff__aiohttp/client_reqrep.py,,"3,89,96,144"
A5,keepsafe/aiohttp,e51fb1ff1ebdde566b96af0090c5c63cf1a62b1b,attrs,dataclasses,aiohttp/client_reqrep.py,89:89,,attr.s,dataclasses.dataclass,decorator,decorator,one-to-one,argument deletion,,https://github.com/keepsafe/aiohttp/commit/e51fb1ff1ebdde566b96af0090c5c63cf1a62b1b,attrs__dataclasses__keepsafe/aiohttp__e51fb1ff,attrs__dataclasses__keepsafe/aiohttp__e51fb1ff__aiohttp/client_reqrep.py,,
A6,keepsafe/aiohttp,e51fb1ff1ebdde566b96af0090c5c63cf1a62b1b,attrs,dataclasses,aiohttp/client_reqrep.py,96:96,,attr.s,dataclasses.dataclass,decorator,decorator,one-to-one,argument deletion,,https://github.com/keepsafe/aiohttp/commit/e51fb1ff1ebdde566b96af0090c5c63cf1a62b1b,attrs__dataclasses__keepsafe/aiohttp__e51fb1ff,attrs__dataclasses__keepsafe/aiohttp__e51fb1ff__aiohttp/client_reqrep.py,,
A7,keepsafe/aiohttp,e51fb1ff1ebdde566b96af0090c5c63cf1a62b1b,attrs,dataclasses,aiohttp/client_reqrep.py,148:144,,attr.s,dataclasses.dataclass,decorator,decorator,one-to-one,argument deletion,,https://github.com/keepsafe/aiohttp/commit/e51fb1ff1ebdde566b96af0090c5c63cf1a62b1b,attrs__dataclasses__keepsafe/aiohttp__e51fb1ff,attrs__dataclasses__keepsafe/aiohttp__e51fb1ff__aiohttp/client_reqrep.py,,
A8,keepsafe/aiohttp,e51fb1ff1ebdde566b96af0090c5c63cf1a62b1b,attrs,dataclasses,aiohttp/client_ws.py,7:4,,attr,dataclasses,import,import,one-to-one,full statement replacement,,https://github.com/keepsafe/aiohttp/commit/e51fb1ff1ebdde566b96af0090c5c63cf1a62b1b,attrs__dataclasses__keepsafe/aiohttp__e51fb1ff,attrs__dataclasses__keepsafe/aiohttp__e51fb1ff__aiohttp/client_ws.py,,"4,30"
A9,keepsafe/aiohttp,e51fb1ff1ebdde566b96af0090c5c63cf1a62b1b,attrs,dataclasses,aiohttp/client_ws.py,30:30,,attr.s,dataclasses.dataclass,decorator,decorator,one-to-one,argument deletion,,https://github.com/keepsafe/aiohttp/commit/e51fb1ff1ebdde566b96af0090c5c63cf1a62b1b,attrs__dataclasses__keepsafe/aiohttp__e51fb1ff,attrs__dataclasses__keepsafe/aiohttp__e51fb1ff__aiohttp/client_ws.py,,
A10,keepsafe/aiohttp,e51fb1ff1ebdde566b96af0090c5c63cf1a62b1b,attrs,dataclasses,aiohttp/connector.py,31:2,,attr,dataclasses,import,import,one-to-one,full statement replacement,,https://github.com/keepsafe/aiohttp/commit/e51fb1ff1ebdde566b96af0090c5c63cf1a62b1b,attrs__dataclasses__keepsafe/aiohttp__e51fb1ff,attrs__dataclasses__keepsafe/aiohttp__e51fb1ff__aiohttp/connector.py,,"21,072"
