id,repo,commit,source,target,file path,lines,flag,source APIs,target APIs,source program elements,target program elements,cardinality,properties,comments,commit URL,migration id,file id,candidate source lines,candidate target lines
I1,logicaldash/lise,028d0b34a4dadc59b18c88fa3381967c23245e63,umsgpack,msgpack,LiSE/LiSE/engine.py,13:13,,umsgpack,msgpack,import,import,one-to-one,module name change,,https://github.com/logicaldash/lise/commit/028d0b34a4dadc59b18c88fa3381967c23245e63,umsgpack__msgpack__logicaldash/lise__028d0b34,umsgpack__msgpack__logicaldash/lise__028d0b34__LiSE/LiSE/engine.py,"13,184,187,192,197,202,205,208,211,216,222,225,228,237,252,267,282,285,288,291,294,297,300,303,350,385,392,395","13,184,187,192,197,202,205,208,211,216,222,225,228,237,252,267,282,285,288,291,294,297,300,303,350,377-378,390,404,407"
I2,logicaldash/lise,028d0b34a4dadc59b18c88fa3381967c23245e63,umsgpack,msgpack,LiSE/LiSE/engine.py,184:184,,"Ext, packb","ExtType, packb","class object, function call","class object, function call",many-to-many,"element name change, argument name change, argument addition, argument transformation","two nested migrations -- thus, many-to-many? (this and the ones below)",https://github.com/logicaldash/lise/commit/028d0b34a4dadc59b18c88fa3381967c23245e63,umsgpack__msgpack__logicaldash/lise__028d0b34,umsgpack__msgpack__logicaldash/lise__028d0b34__LiSE/LiSE/engine.py,,
I3,logicaldash/lise,028d0b34a4dadc59b18c88fa3381967c23245e63,umsgpack,msgpack,LiSE/LiSE/engine.py,187-189:187-189,,"Ext, packb","ExtType, packb","class object, function call","class object, function call",many-to-many,"element name change, argument name change, argument addition, argument transformation",,https://github.com/logicaldash/lise/commit/028d0b34a4dadc59b18c88fa3381967c23245e63,umsgpack__msgpack__logicaldash/lise__028d0b34,umsgpack__msgpack__logicaldash/lise__028d0b34__LiSE/LiSE/engine.py,,
I4,logicaldash/lise,028d0b34a4dadc59b18c88fa3381967c23245e63,umsgpack,msgpack,LiSE/LiSE/engine.py,192-194:192-194,,"Ext, packb","ExtType, packb","class object, function call","class object, function call",many-to-many,"element name change, argument name change, argument addition, argument transformation",,https://github.com/logicaldash/lise/commit/028d0b34a4dadc59b18c88fa3381967c23245e63,umsgpack__msgpack__logicaldash/lise__028d0b34,umsgpack__msgpack__logicaldash/lise__028d0b34__LiSE/LiSE/engine.py,,
I5,logicaldash/lise,028d0b34a4dadc59b18c88fa3381967c23245e63,umsgpack,msgpack,LiSE/LiSE/engine.py,197-199:197-199,,"Ext, packb","ExtType, packb","class object, function call","class object, function call",many-to-many,"element name change, argument name change, argument addition, argument transformation",,https://github.com/logicaldash/lise/commit/028d0b34a4dadc59b18c88fa3381967c23245e63,umsgpack__msgpack__logicaldash/lise__028d0b34,umsgpack__msgpack__logicaldash/lise__028d0b34__LiSE/LiSE/engine.py,,
I6,logicaldash/lise,028d0b34a4dadc59b18c88fa3381967c23245e63,umsgpack,msgpack,LiSE/LiSE/engine.py,202:202,,"Ext, packb","ExtType, packb","class object, function call","class object, function call",many-to-many,"element name change, argument name change, argument addition, argument transformation",,https://github.com/logicaldash/lise/commit/028d0b34a4dadc59b18c88fa3381967c23245e63,umsgpack__msgpack__logicaldash/lise__028d0b34,umsgpack__msgpack__logicaldash/lise__028d0b34__LiSE/LiSE/engine.py,,
I7,logicaldash/lise,028d0b34a4dadc59b18c88fa3381967c23245e63,umsgpack,msgpack,LiSE/LiSE/engine.py,205:205,,"Ext, packb","ExtType, packb","class object, function call","class object, function call",many-to-many,"element name change, argument name change, argument addition, argument transformation",,https://github.com/logicaldash/lise/commit/028d0b34a4dadc59b18c88fa3381967c23245e63,umsgpack__msgpack__logicaldash/lise__028d0b34,umsgpack__msgpack__logicaldash/lise__028d0b34__LiSE/LiSE/engine.py,,
I8,logicaldash/lise,028d0b34a4dadc59b18c88fa3381967c23245e63,umsgpack,msgpack,LiSE/LiSE/engine.py,208:208,,"Ext, packb","ExtType, packb","class object, function call","class object, function call",many-to-many,"element name change, argument name change, argument addition, argument transformation",,https://github.com/logicaldash/lise/commit/028d0b34a4dadc59b18c88fa3381967c23245e63,umsgpack__msgpack__logicaldash/lise__028d0b34,umsgpack__msgpack__logicaldash/lise__028d0b34__LiSE/LiSE/engine.py,,
I9,logicaldash/lise,028d0b34a4dadc59b18c88fa3381967c23245e63,umsgpack,msgpack,LiSE/LiSE/engine.py,211-213:211-213,,"Ext, packb","ExtType, packb","class object, function call","class object, function call",many-to-many,"element name change, argument name change, argument addition, argument transformation",,https://github.com/logicaldash/lise/commit/028d0b34a4dadc59b18c88fa3381967c23245e63,umsgpack__msgpack__logicaldash/lise__028d0b34,umsgpack__msgpack__logicaldash/lise__028d0b34__LiSE/LiSE/engine.py,,
I10,logicaldash/lise,028d0b34a4dadc59b18c88fa3381967c23245e63,umsgpack,msgpack,LiSE/LiSE/engine.py,216-222:216-222,,"Ext, packb","ExtType, packb","class object, function call","class object, function call",many-to-many,"element name change, argument name change, argument addition, argument transformation",,https://github.com/logicaldash/lise/commit/028d0b34a4dadc59b18c88fa3381967c23245e63,umsgpack__msgpack__logicaldash/lise__028d0b34,umsgpack__msgpack__logicaldash/lise__028d0b34__LiSE/LiSE/engine.py,,
