round,id 1,id 2,flag,repo,commit,source,target,domain,file path,lines,source APIs,target APIs,source program elements,target program elements,cardinality,properties,migration id,pair id,commit url
0,132,--,,azure/aztk,19dde429a702c29bdcf86a69805053ecfd02edee,pycryptodome,pycryptodomex,Cryptography,aztk/utils/secure_utils.py,1:1,from Crypto.PublicKey import RSA,from Cryptodome.PublicKey import RSA,import,import,one-to-one,module name change,pycryptodome__pycryptodomex__azure/aztk__19dde42,pycryptodome__pycryptodomex,https://github.com/azure/aztk/commit/19dde42
0,270,--,,azure/aztk,19dde429a702c29bdcf86a69805053ecfd02edee,pycryptodome,pycryptodomex,Cryptography,aztk/utils/secure_utils.py,2:2,from Crypto.Random import get_random_bytes,from Cryptodome.Random import get_random_bytes,import,import,one-to-one,module name change,pycryptodome__pycryptodomex__azure/aztk__19dde42,pycryptodome__pycryptodomex,https://github.com/azure/aztk/commit/19dde42
0,271,--,,azure/aztk,19dde429a702c29bdcf86a69805053ecfd02edee,pycryptodome,pycryptodomex,Cryptography,aztk/utils/secure_utils.py,3:3,"from Crypto.Cipher import AES, PKCS1_OAEP","from Cryptodome.Cipher import AES, PKCS1_OAEP",import,import,one-to-one,module name change,pycryptodome__pycryptodomex__azure/aztk__19dde42,pycryptodome__pycryptodomex,https://github.com/azure/aztk/commit/19dde42
0,244,--,,bcgov/gwells,472f336f5db32ead27b6f4e171c6b8f782da8a02,xlsxwriter,openpyxl,File reader/writer,app/backend/wells/management/commands/export.py,11:12,import xlsxwriter,"from openpyxl import Workbook",import,import,one-to-one,full statement replacement,xlsxwriter__openpyxl__bcgov/gwells__472f336,xlsxwriter__openpyxl,https://github.com/bcgov/gwells/commit/472f336
0,245,--,,bcgov/gwells,472f336f5db32ead27b6f4e171c6b8f782da8a02,xlsxwriter,openpyxl,File reader/writer,app/backend/wells/management/commands/export.py,53:53,add_worksheet,create_sheet,function call,function call,one-to-one,element name change,xlsxwriter__openpyxl__bcgov/gwells__472f336,xlsxwriter__openpyxl,https://github.com/bcgov/gwells/commit/472f336
0,204,--,,bcgov/gwells,57d12c42941e0afb07ac46fb51f8316d6c5a0cea,openpyxl,xlsxwriter,File reader/writer,app/backend/wells/management/commands/export.py,12:12,from openpyxl import Workbook,from xlsxwriter import Workbook,import,import,one-to-one,module name change,openpyxl__xlsxwriter__bcgov/gwells__57d12c4,openpyxl__xlsxwriter,https://github.com/bcgov/gwells/commit/57d12c4
0,205,--,,bcgov/gwells,57d12c42941e0afb07ac46fb51f8316d6c5a0cea,openpyxl,xlsxwriter,File reader/writer,app/backend/wells/management/commands/export.py,53:53,create_sheet,add_worksheet,function call,function call,one-to-one,element name change,openpyxl__xlsxwriter__bcgov/gwells__57d12c4,openpyxl__xlsxwriter,https://github.com/bcgov/gwells/commit/57d12c4
0,197,--,,bcgov/theorgbook,728f86e941dfb6bdbee27628d28425757af5f22d,django-rest-swagger,drf-yasg,Utilities,tob-api/api_v2/swagger.py,6:7-8,"from rest_framework_swagger import renderers",from drf_yasg.views import get_schema_view; from drf_yasg import openapi,import,import,one-to-many,full statement replacement,django-rest-swagger__drf-yasg__bcgov/theorgbook__728f86e,django-rest-swagger__drf-yasg,https://github.com/bcgov/theorgbook/commit/728f86e
0,217,--,,biznetgio/restknot,6b10345398630fbb418f84ca7268d481ecad56ee,kafka-python,confluent-kafka,API wrapper,agent/dnsagent/clis/start.py,35:35-36,get_kafka_consumer,Consumer; suscribe,function call,function call; function call,one-to-many,argument transformation;element name change,kafka-python__confluent-kafka__biznetgio/restknot__6b10345,kafka-python__confluent-kafka,https://github.com/biznetgio/restknot/commit/6b10345
0,219,--,,biznetgio/restknot,6b10345398630fbb418f84ca7268d481ecad56ee,kafka-python,confluent-kafka,API wrapper,api/app/helpers/producer.py,18-21:20,KafkaProducer,Producer,function call,function call,one-to-one,argument deletion;argument transformation;element name change,kafka-python__confluent-kafka__biznetgio/restknot__6b10345,kafka-python__confluent-kafka,https://github.com/biznetgio/restknot/commit/6b10345
0,220,--,,biznetgio/restknot,6b10345398630fbb418f84ca7268d481ecad56ee,kafka-python,confluent-kafka,API wrapper,api/app/helpers/producer.py,31:36,send,produce,function call,function call,one-to-one,argument addition;argument transformation;element name change,kafka-python__confluent-kafka__biznetgio/restknot__6b10345,kafka-python__confluent-kafka,https://github.com/biznetgio/restknot/commit/6b10345
0,218,--,,biznetgio/restknot,6b10345398630fbb418f84ca7268d481ecad56ee,kafka-python,confluent-kafka,API wrapper,api/app/helpers/producer.py,5:5,from kafka import KafkaProducer,"from confluent_kafka import Producer",import,import,one-to-one,module name change;object name change,kafka-python__confluent-kafka__biznetgio/restknot__6b10345,kafka-python__confluent-kafka,https://github.com/biznetgio/restknot/commit/6b10345
0,126,--,,bretttolbert/verbecc-svc,24a848d285ae2c6f3e5b06d1a8ee718cb3f17133,flask,fastapi,Development framework/extension,python/verb_conjugate_fr/__init__.py,2-3:2,from flask import Flask; from flask_restful import Api,"from fastapi import FastAPI",import,import,many-to-one,full statement replacement,flask__fastapi__bretttolbert/verbecc-svc__24a848d,flask__fastapi,https://github.com/bretttolbert/verbecc-svc/commit/24a848d
0,4,--,,camptocamp/c2cgeoportal,14388c3d85ab164d7b36b1331534913a1c9d6c9a,pycrypto,pycryptodome,Cryptography,geoportal/c2cgeoportal_geoportal/__init__.py,322:326,new,new,function call,function call,one-to-one,argument addition;argument transformation,pycrypto__pycryptodome__camptocamp/c2cgeoportal__14388c3,pycrypto__pycryptodome,https://github.com/camptocamp/c2cgeoportal/commit/14388c3
0,5,--,,camptocamp/c2cgeoportal,14388c3d85ab164d7b36b1331534913a1c9d6c9a,pycrypto,pycryptodome,Cryptography,geoportal/c2cgeoportal_geoportal/__init__.py,323:327,decrypt,decrypt_and_verify,function call,function call,one-to-one,argument addition;argument transformation;element name change,pycrypto__pycryptodome__camptocamp/c2cgeoportal__14388c3,pycrypto__pycryptodome,https://github.com/camptocamp/c2cgeoportal/commit/14388c3
0,2,--,,camptocamp/c2cgeoportal,14388c3d85ab164d7b36b1331534913a1c9d6c9a,pycrypto,pycryptodome,Cryptography,geoportal/c2cgeoportal_geoportal/scripts/urllogin.py,48:48,new,new,function call,function call,one-to-one,argument addition;argument transformation,pycrypto__pycryptodome__camptocamp/c2cgeoportal__14388c3,pycrypto__pycryptodome,https://github.com/camptocamp/c2cgeoportal/commit/14388c3
0,3,--,,camptocamp/c2cgeoportal,14388c3d85ab164d7b36b1331534913a1c9d6c9a,pycrypto,pycryptodome,Cryptography,geoportal/c2cgeoportal_geoportal/scripts/urllogin.py,53:53,encrypt,encrypt_and_digest,function call,function call,one-to-one,element name change,pycrypto__pycryptodome__camptocamp/c2cgeoportal__14388c3,pycrypto__pycryptodome,https://github.com/camptocamp/c2cgeoportal/commit/14388c3
0,151,--,,cloud-custodian/cloud-custodian,12e3e8084ddb2e7f5ccbc5ea3c3bd3e4c7e9c207,ruamel.yaml,pyyaml,File reader/writer,tools/c7n_mailer/c7n_mailer/cli.py,15:10,from ruamel import yaml,"from ruamel import yaml",import,import,one-to-one,full statement replacement,ruamel.yaml__pyyaml__cloud-custodian/cloud-custodian__12e3e80,ruamel.yaml__pyyaml,https://github.com/cloud-custodian/cloud-custodian/commit/12e3e80
0,152,--,,cloud-custodian/cloud-custodian,12e3e8084ddb2e7f5ccbc5ea3c3bd3e4c7e9c207,ruamel.yaml,pyyaml,File reader/writer,tools/c7n_mailer/c7n_mailer/replay.py,25:18,from ruamel import yaml,"from ruamel import yaml",import,import,one-to-one,full statement replacement,ruamel.yaml__pyyaml__cloud-custodian/cloud-custodian__12e3e80,ruamel.yaml__pyyaml,https://github.com/cloud-custodian/cloud-custodian/commit/12e3e80
0,153,--,,cloud-custodian/cloud-custodian,12e3e8084ddb2e7f5ccbc5ea3c3bd3e4c7e9c207,ruamel.yaml,pyyaml,File reader/writer,tools/c7n_mailer/c7n_mailer/utils.py,28:22,from ruamel import yaml,"from ruamel import yaml",import,import,one-to-one,full statement replacement,ruamel.yaml__pyyaml__cloud-custodian/cloud-custodian__12e3e80,ruamel.yaml__pyyaml,https://github.com/cloud-custodian/cloud-custodian/commit/12e3e80
0,171,--,,cloud-custodian/cloud-custodian,cbaf252ff1eb554511b0384392ea02387887ed6c,python-ldap,ldap3,Utilities,tools/c7n_mailer/c7n_mailer/address.py,19:16-20,"import ldap","from ldap3 import (Connection, Server); from ldap3.core.exceptions import LDAPSocketOpenError",import,import,one-to-many,full statement replacement,python-ldap__ldap3__cloud-custodian/cloud-custodian__cbaf252,python-ldap__ldap3,https://github.com/cloud-custodian/cloud-custodian/commit/cbaf252
0,146,--,,cloud-custodian/cloud-custodian,ee4d52689e1f4965439b2d360c89eddf8767a935,pyyaml,ruamel.yaml,File reader/writer,tools/c7n_mailer/c7n_mailer/cli.py,8:8,import yaml,"from ruamel import yaml",import,import,one-to-one,full statement replacement,pyyaml__ruamel.yaml__cloud-custodian/cloud-custodian__ee4d526,pyyaml__ruamel.yaml,https://github.com/cloud-custodian/cloud-custodian/commit/ee4d526
0,147,--,,cloud-custodian/cloud-custodian,ee4d52689e1f4965439b2d360c89eddf8767a935,pyyaml,ruamel.yaml,File reader/writer,tools/c7n_mailer/c7n_mailer/replay.py,21:21,import yaml,"from ruamel import yaml",import,import,one-to-one,full statement replacement,pyyaml__ruamel.yaml__cloud-custodian/cloud-custodian__ee4d526,pyyaml__ruamel.yaml,https://github.com/cloud-custodian/cloud-custodian/commit/ee4d526
0,148,--,,cloud-custodian/cloud-custodian,ee4d52689e1f4965439b2d360c89eddf8767a935,pyyaml,ruamel.yaml,File reader/writer,tools/c7n_mailer/c7n_mailer/utils.py,18:20,import yaml,"from ruamel import yaml",import,import,one-to-one,full statement replacement,pyyaml__ruamel.yaml__cloud-custodian/cloud-custodian__ee4d526,pyyaml__ruamel.yaml,https://github.com/cloud-custodian/cloud-custodian/commit/ee4d526
0,149,--,,common-workflow-language/cwltool,b9b65c0f4d7531c8a97690356ecf1a34214eaac2,pyyaml,ruamel.yaml,File reader/writer,draft-4/salad/schema_salad/jsonld_context.py,3:4,import yaml,"from ruamel import yaml",import,import,one-to-one,full statement replacement,pyyaml__ruamel.yaml__common-workflow-language/cwltool__b9b65c0,pyyaml__ruamel.yaml,https://github.com/common-workflow-language/cwltool/commit/b9b65c0
0,143,--,,duanhongyi/dwebsocket,d707ff652fd74c3420e83a50fc9b1b9026ed0d98,gevent,eventlet,Networking,examples/run_eventlet.py,14-15:16,WSGIServer; serve_forever,server; listen,function call; function call,function call; function call,many-to-many,element name change,gevent__eventlet__duanhongyi/dwebsocket__d707ff6,gevent__eventlet,https://github.com/duanhongyi/dwebsocket/commit/d707ff6
0,141,--,,duanhongyi/dwebsocket,d707ff652fd74c3420e83a50fc9b1b9026ed0d98,gevent,eventlet,Networking,examples/run_eventlet.py,"3,5:1,6",from gevent import monkey; from gevent.pywsgi import WSGIServer,"from eventlet import wsgi, patcher; from eventlet import wsgi, patcher",import,import,many-to-many,full statement replacement,gevent__eventlet__duanhongyi/dwebsocket__d707ff6,gevent__eventlet,https://github.com/duanhongyi/dwebsocket/commit/d707ff6
0,142,--,,duanhongyi/dwebsocket,d707ff652fd74c3420e83a50fc9b1b9026ed0d98,gevent,eventlet,Networking,examples/run_eventlet.py,4:2,patch_all,monkey_patch,function call,function call,one-to-one,element name change,gevent__eventlet__duanhongyi/dwebsocket__d707ff6,gevent__eventlet,https://github.com/duanhongyi/dwebsocket/commit/d707ff6
0,6,--,,elblogbruno/notionai-mymind,002f5bde5d5d5f2eaaf6999e41e4619817c10400,flask,quart,Development framework/extension,Python Server/app/server.py,149:110,render_template,render_template,function call,function call,one-to-one,making await,flask__quart__elblogbruno/notionai-mymind__002f5bd,flask__quart,https://github.com/elblogbruno/notionai-mymind/commit/002f5bd
0,7,--,,elblogbruno/notionai-mymind,002f5bde5d5d5f2eaaf6999e41e4619817c10400,flask,quart,Development framework/extension,Python Server/app/server.py,154:115,form,get_json,attribute access,function call,one-to-one,making await;element name change,flask__quart__elblogbruno/notionai-mymind__002f5bd,flask__quart,https://github.com/elblogbruno/notionai-mymind/commit/002f5bd
0,8,--,,elblogbruno/notionai-mymind,002f5bde5d5d5f2eaaf6999e41e4619817c10400,flask,quart,Development framework/extension,Python Server/app/server.py,20:14,Flask,Quart,function call,function call,one-to-one,element name change,flask__quart__elblogbruno/notionai-mymind__002f5bd,flask__quart,https://github.com/elblogbruno/notionai-mymind/commit/002f5bd
0,64,--,,elblogbruno/notionai-mymind,002f5bde5d5d5f2eaaf6999e41e4619817c10400,flask,quart,Development framework/extension,Python Server/app/server.py,4-6:3,"from flask import send_from_directory; from flask import render_template; from flask import Flask, flash, request, redirect, url_for","from quart import Quart, render_template, flash, request, redirect",import,import,one-to-one,full statement replacement,flask__quart__elblogbruno/notionai-mymind__002f5bd,flask__quart,https://github.com/elblogbruno/notionai-mymind/commit/002f5bd
0,9,--,,elblogbruno/notionai-mymind,002f5bde5d5d5f2eaaf6999e41e4619817c10400,flask,quart,Development framework/extension,Python Server/app/server.py,80:55,files,files,attribute access,attribute access,one-to-one,making await,flask__quart__elblogbruno/notionai-mymind__002f5bd,flask__quart,https://github.com/elblogbruno/notionai-mymind/commit/002f5bd
0,252,--,,freeopcua/opcua-asyncio,cdaff1575780a99ab035abb08a6ad13414cd4859,pycrypto,cryptography,Cryptography,opcua/uacrypto.py,8-15:3-7,from Crypto.Signature import PKCS1_v1_5; from Crypto.Hash import SHA256; from Crypto.Hash import SHA; from Crypto.PublicKey import RSA; from Crypto.Cipher import AES; from Crypto.Cipher import PKCS1_OAEP; from Crypto import Hash; from Crypto import Random,from cryptography import x509; from cryptography.hazmat.backends import default_backend; from cryptography.hazmat.primitives import serialization; from cryptography.hazmat.primitives import hashes; from cryptography.hazmat.primitives.asymmetric import padding,import,import,many-to-many,full statement replacement,pycrypto__cryptography__freeopcua/opcua-asyncio__cdaff15,pycrypto__cryptography,https://github.com/freeopcua/opcua-asyncio/commit/cdaff15
0,65,--,,habitissimo/myaas,0a65bcc2ce97a2e3ad9b028b1cf9bcc58499f5d9,raven,sentry-sdk,Logging/tracing,src/runserver.py,7:6-7,from raven.contrib.flask import Sentry,import sentry_sd; from sentry_sdk.integrations.flask import FlaskIntegration,import,import,one-to-many,full statement replacement,raven__sentry-sdk__habitissimo/myaas__0a65bcc,raven__sentry-sdk,https://github.com/habitissimo/myaas/commit/0a65bcc
0,10,--,,habitissimo/myaas,0a65bcc2ce97a2e3ad9b028b1cf9bcc58499f5d9,raven,sentry-sdk,Logging/tracing,src/runserver.py,8:9-12,Sentry,init;FlaskIntegration,function call,function call; function call,one-to-many,argument addition;argument deletion;element name change,raven__sentry-sdk__habitissimo/myaas__0a65bcc,raven__sentry-sdk,https://github.com/habitissimo/myaas/commit/0a65bcc
0,57,--,,hhyo/archery,e192ca69e2d610bc59a9f10165c7fd1c8ab9b157,pycrypto,pycryptodome,Cryptography,sql/utils/aes_decryptor.py,26:26,encrypt,encrypt,function call,function call,one-to-one,argument transformation,pycrypto__pycryptodome__hhyo/archery__e192ca6,pycrypto__pycryptodome,https://github.com/hhyo/archery/commit/e192ca6
0,150,--,,holgern/beem,f5ba90e2cc5bb88b29b173bae11ba46e06efecf7,pyyaml,ruamel.yaml,File reader/writer,beem/utils.py,9:9,import yaml,from ruamel.yaml import YAML,import,import,one-to-one,full statement replacement,pyyaml__ruamel.yaml__holgern/beem__f5ba90e,pyyaml__ruamel.yaml,https://github.com/holgern/beem/commit/f5ba90e
0,168,--,,ictu/quality-time,cc47b42cf70b6968b22a3819bf0b9714135271c1,python-ldap,ldap3,Utilities,components/server/src/routes/auth.py,11:13-14,"import ldap","from ldap3 import Server, Connection, ALL; from ldap3.core import exceptions",import,import,one-to-many,full statement replacement,python-ldap__ldap3__ictu/quality-time__cc47b42,python-ldap__ldap3,https://github.com/ictu/quality-time/commit/cc47b42
0,169,--,,ictu/quality-time,cc47b42cf70b6968b22a3819bf0b9714135271c1,python-ldap,ldap3,Utilities,components/server/src/routes/auth.py,47:66,initialize,Server,function call,function call,one-to-one,argument addition;element name change,python-ldap__ldap3__ictu/quality-time__cc47b42,python-ldap__ldap3,https://github.com/ictu/quality-time/commit/cc47b42
0,170,--,,ictu/quality-time,cc47b42cf70b6968b22a3819bf0b9714135271c1,python-ldap,ldap3,Utilities,components/server/src/routes/auth.py,50-51:73,search_s,search,function call,function call,one-to-one,argument addition;argument deletion;element name change,python-ldap__ldap3__ictu/quality-time__cc47b42,python-ldap__ldap3,https://github.com/ictu/quality-time/commit/cc47b42
0,58,--,,ictu/quality-time,d3a9a16a72348cece48c9788cf10db6cc043ec7c,requests,aiohttp,HTTP client/server,components/collector/src/base_collectors/source_collector.py,106:101,get,get,function call,function call,one-to-one,argument deletion;argument transformation,requests__aiohttp__ictu/quality-time__d3a9a16,requests__aiohttp,https://github.com/ictu/quality-time/commit/d3a9a16
0,13,--,,ictu/quality-time,d3a9a16a72348cece48c9788cf10db6cc043ec7c,requests,aiohttp,HTTP client/server,components/collector/src/base_collectors/source_collector.py,13:13,"import requests","import aiohttp",import,import,one-to-one,module name change,requests__aiohttp__ictu/quality-time__d3a9a16,requests__aiohttp,https://github.com/ictu/quality-time/commit/d3a9a16
0,62,--,,ictu/quality-time,d3a9a16a72348cece48c9788cf10db6cc043ec7c,requests,aiohttp,HTTP client/server,components/collector/src/collector_utilities/functions.py,18:18,text,text,attribute access,function call,one-to-one,making await,requests__aiohttp__ictu/quality-time__d3a9a16,requests__aiohttp,https://github.com/ictu/quality-time/commit/d3a9a16
0,12,--,,ictu/quality-time,d3a9a16a72348cece48c9788cf10db6cc043ec7c,requests,aiohttp,HTTP client/server,components/collector/src/collector_utilities/type.py,15:16,Response,ClientResponse,attribute access,attribute access,one-to-one,element name change,requests__aiohttp__ictu/quality-time__d3a9a16,requests__aiohttp,https://github.com/ictu/quality-time/commit/d3a9a16
0,11,--,,ictu/quality-time,d3a9a16a72348cece48c9788cf10db6cc043ec7c,requests,aiohttp,HTTP client/server,components/collector/src/collector_utilities/type.py,5:5,"import requests","import aiohttp",import,import,one-to-one,module name change,requests__aiohttp__ictu/quality-time__d3a9a16,requests__aiohttp,https://github.com/ictu/quality-time/commit/d3a9a16
0,14,--,,ictu/quality-time,d3a9a16a72348cece48c9788cf10db6cc043ec7c,requests,aiohttp,HTTP client/server,components/collector/src/source_collectors/api_source_collectors/azure_devops.py,12:12,"import requests","import aiohttp",import,import,one-to-one,module name change,requests__aiohttp__ictu/quality-time__d3a9a16,requests__aiohttp,https://github.com/ictu/quality-time/commit/d3a9a16
0,59,--,,ictu/quality-time,d3a9a16a72348cece48c9788cf10db6cc043ec7c,requests,aiohttp,HTTP client/server,components/collector/src/source_collectors/api_source_collectors/azure_devops.py,31:31,post,post,function call,function call,one-to-one,argument deletion;making await,requests__aiohttp__ictu/quality-time__d3a9a16,requests__aiohttp,https://github.com/ictu/quality-time/commit/d3a9a16
0,15,--,,ictu/quality-time,d3a9a16a72348cece48c9788cf10db6cc043ec7c,requests,aiohttp,HTTP client/server,components/collector/src/source_collectors/api_source_collectors/azure_devops.py,40:41;52:53;93:93;122:122;133:133;157:158,json,json,function call,function call,one-to-one,making await,requests__aiohttp__ictu/quality-time__d3a9a16,requests__aiohttp,https://github.com/ictu/quality-time/commit/d3a9a16
0,16,--,,intel/stacks-usecase,22cc3f007a3267ca09a3f53b84fdbfff1f045e88,flask,quart,Development framework/extension,github-issue-classification/python/rest.py,"19:19,21","import flask",import quart; from quart import Quart,import,import,one-to-many,full statement replacement,flask__quart__intel/stacks-usecase__22cc3f0,flask__quart,https://github.com/intel/stacks-usecase/commit/22cc3f0
0,17,--,,intel/stacks-usecase,22cc3f007a3267ca09a3f53b84fdbfff1f045e88,flask,quart,Development framework/extension,github-issue-classification/python/rest.py,23:27,Flask,Quart,function call,function call,one-to-one,element name change,flask__quart__intel/stacks-usecase__22cc3f0,flask__quart,https://github.com/intel/stacks-usecase/commit/22cc3f0
0,70,--,,intel/stacks-usecase,22cc3f007a3267ca09a3f53b84fdbfff1f045e88,flask,quart,Development framework/extension,github-issue-classification/python/rest.py,42:49;43:50;43:50,json,json,attribute access,attribute access,one-to-one,no properties,flask__quart__intel/stacks-usecase__22cc3f0,flask__quart,https://github.com/intel/stacks-usecase/commit/22cc3f0
0,71,--,,intel/stacks-usecase,22cc3f007a3267ca09a3f53b84fdbfff1f045e88,flask,quart,Development framework/extension,github-issue-classification/python/rest.py,44:51,abort,abort,function call,function call,one-to-one,no properties,flask__quart__intel/stacks-usecase__22cc3f0,flask__quart,https://github.com/intel/stacks-usecase/commit/22cc3f0
0,272,--,,intel/stacks-usecase,22cc3f007a3267ca09a3f53b84fdbfff1f045e88,flask,quart,Development framework/extension,github-issue-classification/python/rest.py,46:53;51:58,jsonify,jsonify,function call,function call,one-to-one,no properties,flask__quart__intel/stacks-usecase__22cc3f0,flask__quart,https://github.com/intel/stacks-usecase/commit/22cc3f0
